District,Season,CropCategory,Crop,Year,Extent,Production,Yield_t_ha,Yield_IQR_Flag
National Total,Yala,Low Country Vegetable,Luffa,2012,1861.0,17053.0,9.16335303600215,False
National Total,Maha,Low Country Vegetable,Luffa,2012,2840.0,25733.0,9.060915492957747,False
National Total,Yala,Low Country Vegetable,Luffa,2013,1985.0,17801.0,8.967758186397985,False
National Total,Maha,Low Country Vegetable,Luffa,2013,3005.0,28598.0,9.516805324459234,False
National Total,Yala,Low Country Vegetable,Luffa,2014,1881.0,16066.0,8.541201488569909,False
National Total,Maha,Low Country Vegetable,Luffa,2014,3007.0,29143.0,9.691719321582973,False
National Total,Yala,Low Country Vegetable,Luffa,2015,1830.0,17723.0,9.684699453551913,False
National Total,Maha,Low Country Vegetable,Luffa,2015,2634.0,28958.0,10.993925588458618,False
National Total,Yala,Low Country Vegetable,Luffa,2016,1717.0,17245.0,10.043680838672103,False
National Total,Maha,Low Country Vegetable,Luffa,2016,2235.0,23170.0,10.3668903803132,False
National Total,Yala,Low Country Vegetable,Luffa,2017,1442.0,15961.0,11.06865464632455,False
National Total,Maha,Low Country Vegetable,Luffa,2017,2965.0,30227.0,10.19460370994941,False
National Total,Yala,Low Country Vegetable,Luffa,2018,1576.0,17502.0,11.105329949238579,False
National Total,Maha,Low Country Vegetable,Luffa,2018,2926.0,28622.0,9.781954887218046,False
National Total,Yala,Low Country Vegetable,Luffa,2019,1518.0,15858.0,10.446640316205533,False
National Total,Maha,Low Country Vegetable,Luffa,2019,2005.0,22250.0,11.097256857855362,False
National Total,Yala,Low Country Vegetable,Luffa,2020,1899.2,19957.1,10.508161331086772,False
National Total,Maha,Low Country Vegetable,Luffa,2020,2332.0,25988.0,11.144082332761577,False
National Total,Yala,Low Country Vegetable,Luffa,2021,1779.6,19782.5,11.1162620813666,False
National Total,Maha,Low Country Vegetable,Luffa,2021,2179.0,25434.2,11.672418540614961,False
National Total,Yala,Low Country Vegetable,Luffa,2022,1778.1,19288.1,10.847590124289972,False
National Total,Maha,Low Country Vegetable,Luffa,2022,2248.0,24438.0,10.87099644128114,False
National Total,Yala,Low Country Vegetable,Luffa,2023,1679.9,18416.9,10.963093041252456,False
National Total,Maha,Low Country Vegetable,Luffa,2023,2408.4,24851.9,10.318842384985883,False
National Total,Maha,Low Country Vegetable,Luffa,2024,2209.7,22224.6,10.057745395302529,False
National Total,Yala,Low Country Vegetable,Luffa,2025,1857.2,18670.4,10.05298298513892,False
National Total,Maha,Low Country Vegetable,Luffa,2025,2096.2,20464.9,9.762856597652897,False
National Total,Yala,Low Country Vegetable,Bandakka,2012,3195.0,27124.0,8.489514866979656,False
National Total,Maha,Low Country Vegetable,Bandakka,2012,4512.0,38327.0,8.494459219858156,False
National Total,Yala,Low Country Vegetable,Bandakka,2013,3635.0,30957.0,8.51636863823934,False
National Total,Maha,Low Country Vegetable,Bandakka,2013,4734.0,38658.0,8.166032953105196,False
National Total,Yala,Low Country Vegetable,Bandakka,2014,3892.0,27272.0,7.0071942446043165,True
National Total,Maha,Low Country Vegetable,Bandakka,2014,4567.0,39697.0,8.692139259908036,False
National Total,Yala,Low Country Vegetable,Bandakka,2015,3293.0,28689.0,8.712116610993016,False
National Total,Maha,Low Country Vegetable,Bandakka,2015,4105.0,37435.0,9.119366626065773,False
National Total,Yala,Low Country Vegetable,Bandakka,2016,3270.0,31459.0,9.620489296636086,False
National Total,Maha,Low Country Vegetable,Bandakka,2016,3803.0,35260.0,9.271627662371811,False
National Total,Yala,Low Country Vegetable,Bandakka,2017,3077.0,27287.0,8.868053298667533,False
National Total,Maha,Low Country Vegetable,Bandakka,2017,3752.0,34142.0,9.099680170575693,False
National Total,Yala,Low Country Vegetable,Bandakka,2018,3826.0,28883.0,7.549137480397282,False
National Total,Maha,Low Country Vegetable,Bandakka,2018,4542.0,39632.0,8.725671510347864,False
National Total,Yala,Low Country Vegetable,Bandakka,2019,3123.0,35107.0,11.241434518091578,True
National Total,Maha,Low Country Vegetable,Bandakka,2019,3728.0,37119.0,9.95681330472103,False
National Total,Yala,Low Country Vegetable,Bandakka,2020,3845.1,35828.0,9.317833086265637,False
National Total,Maha,Low Country Vegetable,Bandakka,2020,4245.0,45616.0,10.745818610129565,False
National Total,Yala,Low Country Vegetable,Bandakka,2021,3555.2,36056.8,10.141989198919893,False
National Total,Maha,Low Country Vegetable,Bandakka,2021,3959.5,37689.8,9.518828134865513,False
National Total,Yala,Low Country Vegetable,Bandakka,2022,3650.8,36181.0,9.910430590555494,False
National Total,Maha,Low Country Vegetable,Bandakka,2022,4173.1,37294.3,8.936833529031176,False
National Total,Yala,Low Country Vegetable,Bandakka,2023,3362.3,31350.8,9.32421259257056,False
National Total,Maha,Low Country Vegetable,Bandakka,2023,4474.6,38984.3,8.712354176909669,False
National Total,Yala,Low Country Vegetable,Bandakka,2024,3517.7,35003.3,9.950621144497827,False
National Total,Maha,Low Country Vegetable,Bandakka,2024,4389.3,37619.6,8.570751600482993,False
National Total,Yala,Low Country Vegetable,Bandakka,2025,3469.6,32681.1,9.419270232879871,False
National Total,Maha,Low Country Vegetable,Bandakka,2025,4199.9,40295.9,9.594490345008216,False
National Total,Yala,Low Country Vegetable,Bitter Gourd,2012,1899.0,18601.0,9.795155344918378,False
National Total,Maha,Low Country Vegetable,Bitter Gourd,2012,2790.0,25502.0,9.140501792114696,False
National Total,Yala,Low Country Vegetable,Bitter Gourd,2013,2020.0,19265.0,9.537128712871286,False
National Total,Maha,Low Country Vegetable,Bitter Gourd,2013,2908.0,26876.0,9.242090784044017,False
National Total,Yala,Low Country Vegetable,Bitter Gourd,2014,2020.0,19265.0,9.537128712871286,False
National Total,Maha,Low Country Vegetable,Bitter Gourd,2014,2908.0,26876.0,9.242090784044017,False
National Total,Yala,Low Country Vegetable,Bitter Gourd,2015,1811.0,19446.0,10.73771397018222,False
National Total,Maha,Low Country Vegetable,Bitter Gourd,2015,2448.0,24061.0,9.828839869281046,False
National Total,Yala,Low Country Vegetable,Bitter Gourd,2016,1635.0,17382.0,10.63119266055046,False
National Total,Maha,Low Country Vegetable,Bitter Gourd,2016,2200.0,24718.0,11.235454545454546,False
National Total,Yala,Low Country Vegetable,Bitter Gourd,2017,1323.0,16778.0,12.681783824640968,False
National Total,Maha,Low Country Vegetable,Bitter Gourd,2017,1863.0,20234.0,10.860976918947934,False
National Total,Yala,Low Country Vegetable,Bitter Gourd,2018,1423.0,16496.0,11.592410400562192,False
National Total,Maha,Low Country Vegetable,Bitter Gourd,2018,2883.0,31115.0,10.792577176552202,False
National Total,Yala,Low Country Vegetable,Bitter Gourd,2019,1431.0,15966.0,11.157232704402515,False
National Total,Maha,Low Country Vegetable,Bitter Gourd,2019,1431.0,25004.0,17.47309573724668,True
National Total,Yala,Low Country Vegetable,Bitter Gourd,2020,1917.2,20954.7,10.929845608178594,False
National Total,Maha,Low Country Vegetable,Bitter Gourd,2020,2184.0,26677.0,12.21474358974359,False
National Total,Yala,Low Country Vegetable,Bitter Gourd,2021,1655.1,22396.5,13.531810766721044,True
National Total,Maha,Low Country Vegetable,Bitter Gourd,2021,2159.7,25156.8,11.648284483956106,False
