location_id,city_name,latitude,longitude,elevation
15,Ampara,7.275923,81.693474,38
19,Anuradhapura,8.330404,80.42882,95
21,Badulla,6.9947276,81.03797,676
26,Bandarawela,6.8541303,80.97726,1217
14,Batticaloa,7.6977153,81.65106,10
0,Colombo,6.924429,79.90725,4
6,Galle,6.0808434,80.23373,8
1,Gampaha,7.0650263,79.96622,19
8,Hambantota,6.1511426,81.127815,8
9,Jaffna,9.66608,80.034874,8
2,Kalutara,6.572935,80.02519,5
3,Kandy,7.275923,80.62659,499
24,Kegalle,7.275923,80.32176,172
10,Kilinochchi[1],9.384886,80.38228,19
17,Kurunegala,7.4868193,80.37352,129
11,Mannar,8.963093,79.96543,5
4,Matale,7.4868193,80.52632,362
7,Matara,5.940246,80.55,6
22,Moneragala,6.8541303,81.35636,152
13,Mullaitivu,9.244288,80.789246,5
5,Nuwara Eliya,6.9947276,80.73418,1865
20,Polonnaruwa,7.908612,81.01536,56
18,Puttalam,8.04921,79.84615,4
23,Ratnapura,6.7135324,80.38688,73
16,Trincomalee,8.611599,81.170395,8
12,Vavuniya,8.752197,80.53448,104
25,Welimada,6.924429,80.96964,1089
