District,Year,Season,TotalDaylightDuration_s,TotalSunshineDuration_s,TotalPrecipitationSum_mm,TotalRainSum_mm,TotalPrecipitationHours_h,TotalShortwaveRadiationSum_MJm2,TotalEt0FaoEvapotranspiration_mm,MeanTemperature2mMax_C,MeanTemperature2mMin_C,MeanTemperature2mMean_C,MeanApparentTemperatureMax_C,MeanApparentTemperatureMin_C,MeanApparentTemperatureMean_C,MeanWindSpeed10mMax_kmh,MeanWindGusts10mMax_kmh,MeanWindDirection10mDominant,MostCommonWeatherCode,WeatherDays
Ampara,2012,Maha,9086782.62,6940951.3100000005,1576.0,1576.0,1666.0,3645.61,778.46,29.11603773584906,24.067924528301884,26.1372641509434,34.01603773584905,28.047641509433966,30.287264150943393,14.373584905660376,32.987735849056605,136.4433962264151,51.0,212
Ampara,2012,Yala,6843710.3,5945818.1,220.1,220.1,285.0,3335.31,799.91,33.63137254901961,25.77908496732026,29.147058823529413,39.18104575163399,29.817647058823532,33.44509803921569,13.405228758169935,34.40326797385621,197.0,51.0,153
Ampara,2013,Maha,9086844.1,7462366.94,935.9,935.9,1353.0,3860.26,828.13,29.243867924528303,23.830188679245282,26.183962264150942,33.58254716981132,27.545283018867927,29.960849056603774,15.209905660377359,34.91698113207547,129.67924528301887,51.0,212
Ampara,2013,Yala,6843639.31,5765720.58,271.5,271.5,312.0,3237.43,749.1,32.96209150326797,25.666013071895424,28.735294117647058,38.65882352941176,30.113725490196074,33.36470588235294,12.525490196078431,34.27516339869281,191.15032679738562,2.0,153
Ampara,2014,Maha,9086907.27,7103198.45,1635.8,1635.8,1854.0,3758.94,776.61,28.887735849056604,23.675,25.868396226415097,33.971698113207545,27.715566037735847,30.158490566037738,13.413679245283017,31.482547169811323,133.54716981132074,63.0,212
Ampara,2014,Yala,6843571.46,5891064.4,301.1,301.1,354.0,3309.65,765.54,33.23921568627451,25.72483660130719,28.994771241830065,38.94509803921569,30.313071895424834,33.654901960784315,12.119607843137254,33.828758169934645,201.32679738562092,51.0,153
Ampara,2015,Maha,9130856.17,7369554.89,1266.4,1266.4,1696.0,3827.32,808.27,29.450234741784037,24.31643192488263,26.45117370892019,34.610328638497656,28.590140845070422,30.868544600938968,14.265727699530515,32.959154929577466,125.9530516431925,63.0,213
Ampara,2015,Yala,6843510.92,5931859.69,401.2,401.2,478.0,3303.15,738.99,32.48692810457516,25.521568627450982,28.48300653594771,38.645751633986926,30.079084967320263,33.431372549019606,12.508496732026144,32.34183006535948,195.640522875817,51.0,153
Ampara,2016,Maha,9086788.72,7535898.34,825.7,825.7,1290.0,3999.87,854.76,30.25566037735849,23.475471698113207,26.400943396226417,35.1061320754717,27.34245283018868,30.514622641509437,13.152358490566039,32.50801886792453,165.07075471698113,51.0,212
Ampara,2016,Yala,6843705.99,5682866.75,352.2,352.2,436.0,3214.45,738.57,33.14313725490196,25.9718954248366,29.031372549019608,38.926797385620915,30.645098039215686,33.87777777777778,12.936601307189543,34.194117647058825,195.30065359477123,51.0,153
Ampara,2017,Maha,9086838.76,6875689.85,1336.9,1336.9,1564.0,3583.95,761.79,30.077830188679247,23.142452830188677,25.995754716981132,34.99622641509434,27.204716981132073,30.335849056603774,13.023584905660377,31.99433962264151,190.08018867924528,51.0,212
Ampara,2017,Yala,6843639.14,5860183.87,401.9,401.9,407.0,3250.84,766.85,35.398039215686275,25.294771241830066,29.370588235294118,40.627450980392155,29.93921568627451,34.076470588235296,14.004575163398691,35.547712418300655,176.640522875817,51.0,153
Ampara,2018,Maha,9086910.71,7249289.58,1260.6,1260.6,2018.0,3851.18,815.79,30.318867924528302,23.14056603773585,26.13679245283019,35.282075471698114,27.277358490566037,30.4877358490566,13.492452830188679,32.37452830188679,168.93867924528303,51.0,212
