MonthDate,Crop,WholesalePrice_RsKg,PrevMonthWholesalePrice_RsKg,NextMonthWholesalePrice_RsKg
2012-01-01,Ash Plantain,41.372,,33.335
2012-02-01,Ash Plantain,33.335,41.372,24.166666666666668
2012-03-01,Ash Plantain,24.166666666666668,33.335,21.18
2012-04-01,Ash Plantain,21.18,24.166666666666668,17.68
2012-05-01,Ash Plantain,17.68,21.18,24.4725
2012-06-01,Ash Plantain,24.4725,17.68,26.407999999999998
2012-07-01,Ash Plantain,26.407999999999998,24.4725,25.71
2012-08-01,Ash Plantain,25.71,26.407999999999998,27.25
2012-09-01,Ash Plantain,27.25,25.71,37.70399999999999
2012-10-01,Ash Plantain,37.70399999999999,27.25,50.3875
2012-11-01,Ash Plantain,50.3875,37.70399999999999,46.72
2012-12-01,Ash Plantain,46.72,50.3875,60.9375
2013-01-01,Ash Plantain,60.9375,46.72,51.945
2013-02-01,Ash Plantain,51.945,60.9375,47.5
2013-03-01,Ash Plantain,47.5,51.945,32.8125
2013-04-01,Ash Plantain,32.8125,47.5,31.93
2013-05-01,Ash Plantain,31.93,32.8125,34.5325
2013-06-01,Ash Plantain,34.5325,31.93,35.4
2013-07-01,Ash Plantain,35.4,34.5325,35.125
2013-08-01,Ash Plantain,35.125,35.4,36.465999999999994
2013-09-01,Ash Plantain,36.465999999999994,35.125,36.6425
2013-10-01,Ash Plantain,36.6425,36.465999999999994,41.125
2013-11-01,Ash Plantain,41.125,36.6425,44.5
2013-12-01,Ash Plantain,44.5,41.125,50.5225
2014-01-01,Ash Plantain,50.5225,44.5,48.87
2014-02-01,Ash Plantain,48.87,50.5225,45.682
2014-03-01,Ash Plantain,45.682,48.87,42.125
2014-04-01,Ash Plantain,42.125,45.682,46.6875
2014-05-01,Ash Plantain,46.6875,42.125,53.565999999999995
2014-06-01,Ash Plantain,53.565999999999995,46.6875,53.5875
2014-07-01,Ash Plantain,53.5875,53.565999999999995,48.4125
2014-08-01,Ash Plantain,48.4125,53.5875,59.464
2014-09-01,Ash Plantain,59.464,48.4125,70.625
2014-10-01,Ash Plantain,70.625,59.464,61.9625
2014-11-01,Ash Plantain,61.9625,70.625,86.27000000000001
2014-12-01,Ash Plantain,86.27000000000001,61.9625,115.91499999999999
2015-01-01,Ash Plantain,115.91499999999999,86.27000000000001,99.6925
2015-02-01,Ash Plantain,99.6925,115.91499999999999,72.348
2015-03-01,Ash Plantain,72.348,99.6925,53.15
2015-04-01,Ash Plantain,53.15,72.348,46.42
2015-05-01,Ash Plantain,46.42,53.15,53.36
2015-06-01,Ash Plantain,53.36,46.42,56.3425
2015-07-01,Ash Plantain,56.3425,53.36,53.0
2015-08-01,Ash Plantain,53.0,56.3425,54.525
2015-09-01,Ash Plantain,54.525,53.0,55.11
2015-10-01,Ash Plantain,55.11,54.525,61.604
2015-11-01,Ash Plantain,61.604,55.11,70.14
2015-12-01,Ash Plantain,70.14,61.604,60.3975
2016-01-01,Ash Plantain,60.3975,70.14,52.818000000000005
2016-02-01,Ash Plantain,52.818000000000005,60.3975,47.295
2016-03-01,Ash Plantain,47.295,52.818000000000005,36.125
2016-04-01,Ash Plantain,36.125,47.295,44.3
2016-05-01,Ash Plantain,44.3,36.125,70.2325
2016-06-01,Ash Plantain,70.2325,44.3,70.17
2016-07-01,Ash Plantain,70.17,70.2325,60.122
2016-08-01,Ash Plantain,60.122,70.17,62.8125
2016-09-01,Ash Plantain,62.8125,60.122,56.55
2016-10-01,Ash Plantain,56.55,62.8125,55.5875
2016-11-01,Ash Plantain,55.5875,56.55,59.2175
2016-12-01,Ash Plantain,59.2175,55.5875,56.968
2017-01-01,Ash Plantain,56.968,59.2175,57.5625
2017-02-01,Ash Plantain,57.5625,56.968,61.4583333333333
2017-03-01,Ash Plantain,61.4583333333333,57.5625,64.27083333249998
2017-04-01,Ash Plantain,64.27083333249998,61.4583333333333,62.83333333333328
2017-05-01,Ash Plantain,62.83333333333328,64.27083333249998,62.60416666666665
2017-06-01,Ash Plantain,62.60416666666665,62.83333333333328,63.4999999993333
2017-07-01,Ash Plantain,63.4999999993333,62.60416666666665,67.08333333416665
2017-08-01,Ash Plantain,67.08333333416665,63.4999999993333,73.64583333416665
2017-09-01,Ash Plantain,73.64583333416665,67.08333333416665,76.17424242266667
2017-10-01,Ash Plantain,76.17424242266667,73.64583333416665,78.33333333499999
2017-11-01,Ash Plantain,78.33333333499999,76.17424242266667,82.9166666675
2017-12-01,Ash Plantain,82.9166666675,78.33333333499999,73.334
2018-01-01,Ash Plantain,73.334,82.9166666675,71.8750000025
2018-02-01,Ash Plantain,71.8750000025,73.334,65.41666666500001
2018-03-01,Ash Plantain,65.41666666500001,71.8750000025,68.538461538
2018-04-01,Ash Plantain,68.538461538,65.41666666500001,74.13690476
2018-05-01,Ash Plantain,74.13690476,68.538461538,68.75
2018-06-01,Ash Plantain,68.75,74.13690476,66.66666666500001
2018-07-01,Ash Plantain,66.66666666500001,68.75,
2018-08-01,Ash Plantain,,66.66666666500001,
2018-09-01,Ash Plantain,,,
2018-10-01,Ash Plantain,,,
2018-11-01,Ash Plantain,,,58.0
2018-12-01,Ash Plantain,58.0,,69.0
2019-01-01,Ash Plantain,69.0,58.0,65.0
2019-02-01,Ash Plantain,65.0,69.0,77.819444445
2019-03-01,Ash Plantain,77.819444445,65.0,79.2
2019-04-01,Ash Plantain,79.2,77.819444445,76.454545455
2019-05-01,Ash Plantain,76.454545455,79.2,83.0
2019-06-01,Ash Plantain,83.0,76.454545455,95.45454545
2019-07-01,Ash Plantain,95.45454545,83.0,
2019-08-01,Ash Plantain,,95.45454545,
2019-09-01,Ash Plantain,,,
2019-10-01,Ash Plantain,,,
2019-11-01,Ash Plantain,,,90.0
2019-12-01,Ash Plantain,90.0,,95.5
2020-01-01,Ash Plantain,95.5,90.0,86.5
2020-02-01,Ash Plantain,86.5,95.5,73.63636364
2020-03-01,Ash Plantain,73.63636364,86.5,
2020-04-01,Ash Plantain,,73.63636364,56.5
2020-05-01,Ash Plantain,56.5,,63.866666666
2020-06-01,Ash Plantain,63.866666666,56.5,75.97727272750001
2020-07-01,Ash Plantain,75.97727272750001,63.866666666,98.436363636
2020-08-01,Ash Plantain,98.436363636,75.97727272750001,102.875
2020-09-01,Ash Plantain,102.875,98.436363636,
2020-10-01,Ash Plantain,,102.875,
2020-11-01,Ash Plantain,,,
2020-12-01,Ash Plantain,,,67.75
2021-01-01,Ash Plantain,67.75,,69.454545455
2021-02-01,Ash Plantain,69.454545455,67.75,57.9
2021-03-01,Ash Plantain,57.9,69.454545455,47.875
2021-04-01,Ash Plantain,47.875,57.9,33.333333333333336
2021-05-01,Ash Plantain,33.333333333333336,47.875,46.0
2021-06-01,Ash Plantain,46.0,33.333333333333336,38.625
2021-07-01,Ash Plantain,38.625,46.0,45.583333332500004
2021-08-01,Ash Plantain,45.583333332500004,38.625,39.5
2021-09-01,Ash Plantain,39.5,45.583333332500004,42.125
2021-10-01,Ash Plantain,42.125,39.5,47.1
2021-11-01,Ash Plantain,47.1,42.125,65.8636363625
2021-12-01,Ash Plantain,65.8636363625,47.1,79.383838384
2022-01-01,Ash Plantain,79.383838384,65.8636363625,75.75
2022-02-01,Ash Plantain,75.75,79.383838384,57.0
2022-03-01,Ash Plantain,57.0,75.75,52.0
