District,Season,CropCategory,Crop,Year,Extent,Production,Yield_t_ha,Yield_IQR_Flag,AnchorMonth,AnchorDate,ForecastDate,WeatherWindowStart,WeatherWindowEnd,Rainfall_3M_mm,TempMean_3M_C,WindSpeed_3M_kmh,SolarRadiation_3M_MJ_m2,ET0_3M_mm,WeatherDays_3M,Leakage_Check,Weather_Completeness_OK,PrevMonthWholesalePrice_RsKg,NextMonthWholesalePrice_RsKg
National Total,Yala,Low Country Vegetable,Luffa,2012,1861.0,17053.0,9.16335303600215,False,4,2012-04-01,2012-04-01,2012-01-01,2012-03-31,192.81481481481484,24.95641025641025,12.757427757427756,20.49129019129019,391.8188888888889,91,True,True,34.223333333333336,53.8075
National Total,Maha,Low Country Vegetable,Luffa,2012,2840.0,25733.0,9.060915492957747,False,9,2012-09-01,2012-09-01,2012-06-01,2012-08-31,271.4518518518518,26.73909017713365,21.219847020933976,19.93822463768116,436.74740740740737,92,True,True,35.4775,59.026
National Total,Yala,Low Country Vegetable,Luffa,2013,1985.0,17801.0,8.967758186397985,False,4,2013-04-01,2013-04-01,2013-01-01,2013-03-31,479.52592592592606,24.79600823045267,13.010246913580248,18.615028806584363,349.47962962962964,90,True,True,48.97,49.265
National Total,Maha,Low Country Vegetable,Luffa,2013,3005.0,28598.0,9.516805324459234,False,9,2013-09-01,2013-09-01,2013-06-01,2013-08-31,378.27777777777777,26.0592190016103,20.98921095008052,19.044879227053144,398.4211111111111,92,True,True,49.625,41.22
National Total,Yala,Low Country Vegetable,Luffa,2014,1881.0,16066.0,8.541201488569909,False,4,2014-04-01,2014-04-01,2014-01-01,2014-03-31,184.15185185185183,25.0727572016461,14.82559670781893,20.222942386831274,394.5177777777778,90,True,True,51.71,87.435
National Total,Maha,Low Country Vegetable,Luffa,2014,3007.0,29143.0,9.691719321582973,False,9,2014-09-01,2014-09-01,2014-06-01,2014-08-31,278.4000000000001,26.76694847020934,21.32246376811594,19.86382045088567,429.4092592592592,92,True,True,29.49,68.75
National Total,Yala,Low Country Vegetable,Luffa,2015,1830.0,17723.0,9.684699453551913,False,4,2015-04-01,2015-04-01,2015-01-01,2015-03-31,210.2703703703704,24.861152263374485,12.927777777777775,20.35349794238683,382.60925925925926,90,True,True,40.11,55.955
National Total,Maha,Low Country Vegetable,Luffa,2015,2634.0,28958.0,10.993925588458618,False,9,2015-09-01,2015-09-01,2015-06-01,2015-08-31,302.1962962962963,26.68128019323672,20.14830917874396,20.037846215780995,419.2903703703704,92,True,True,49.998000000000005,70.405
National Total,Yala,Low Country Vegetable,Luffa,2016,1717.0,17245.0,10.043680838672104,False,4,2016-04-01,2016-04-01,2016-01-01,2016-03-31,103.57407407407408,26.05075295075295,13.816646316646317,20.77905982905984,412.6448148148148,91,True,True,69.7925,102.534
National Total,Maha,Low Country Vegetable,Luffa,2016,2235.0,23170.0,10.3668903803132,False,9,2016-09-01,2016-09-01,2016-06-01,2016-08-31,265.61481481481485,26.633494363929145,20.95998389694042,19.82029388083736,416.3766666666666,92,True,True,30.8,84.97200000000001
